CutitronicsTreatmentID,TreatmentNumber,CutitronicsCartID,CutitronicsSKUID,CartLevel,CartState,CartDispensedAmount,CartEnvTemperature,CartEnvHumidity,CartEnvPollution,CartEnvUv,CutitronicsClientID,TreatmentStartDate,TreatmentType,CutitronicsCtrlID,CtrlBatteryLevel,CtrlTemperature,CtrlDatetime,CtrlState,CtrlStatus,CtrlFirmwareVersion,CtrlLatitude,CtrlLongitude,CtrlSkinHealth,CtrlHumidity,CtrlaccData,MeasurementArea,Status,clientLat,clientLon,FirstName,Surname,YOB,Gender,FITZP,SkinConcerns,Allergies,CutitronicsBrandID,CutitronicsSKUCat,CutitronicsSKUType,CutitronicsSKUName,prescribedOn,PrescriptionName,PrescriptionType,presrcibedAM,prescribedPM,CartInitLevel,installDate
24,24,a1,SS1,31.00,inUse,4,19,76,41,5,client1,14/05/2020 20:00,dispense,ab1,98,23,14/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,74,80,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
25,25,a1,SS1,27.00,inUse,2,26,66,50,4,client1,15/05/2020 08:00,dispense,ab1,88,22,15/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,69,68,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
26,26,a1,SS1,24.00,inUse,4,18,65,45,4,client1,15/05/2020 20:00,dispense,ab1,98,26,15/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,68,75,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
27,27,a1,SS1,21.00,inUse,2,26,73,22,6,client1,16/05/2020 08:00,dispense,ab1,79,24,16/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,72,75,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
28,28,a1,SS1,19.00,inUse,4,26,78,25,5,client1,16/05/2020 20:00,dispense,ab1,98,23,16/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,72,74,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
29,29,a1,SS1,16.00,inUse,2,22,72,30,3,client1,17/05/2020 08:00,dispense,ab1,78,27,17/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,74,68,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
30,30,a1,SS1,12.00,inUse,4,25,69,49,4,client1,17/05/2020 20:00,dispense,ab1,98,24,17/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,73,78,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
31,31,a1,SS1,8.00,inUse,2,18,80,34,6,client1,18/05/2020 08:00,dispense,ab1,89,28,18/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,73,75,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
32,32,a1,SS1,4.00,inUse,4,19,68,30,4,client1,18/05/2020 20:00,dispense,ab1,99,24,18/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,69,73,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
33,33,a1,SS1,2.00,inUse,2,18,75,40,5,client1,19/05/2020 08:00,dispense,ab1,98,24,19/05/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,71,70,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
34,34,a1,SS1,0.00,inUse,4,21,79,28,6,client1,19/05/2020 20:00,dispense,ab1,86,20,19/05/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,74,65,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,01/05/2020
35,35,aa12,SS1,99.00,inUse,2,19,75,42,5,client1,23/05/2020 07:45,dispense,ab1,80,27,23/05/2020 07:45,unknown,unknown,1.0.0,55.752225,-4.220541,74,73,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
36,36,aa12,SS1,96.00,inUse,4,22,79,23,5,client1,23/05/2020 19:45,dispense,ab1,99,28,23/05/2020 19:45,unknown,unknown,1.0.0,55.752225,-4.220541,72,69,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
37,37,aa12,SS1,93.00,inUse,2,23,75,41,3,client1,24/05/2020 07:45,dispense,ab1,84,18,24/05/2020 07:45,unknown,unknown,1.0.0,55.752225,-4.220541,73,68,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
38,38,aa12,SS1,90.00,inUse,4,19,68,42,7,client1,24/05/2020 18:45,dispense,ab1,85,27,24/05/2020 18:45,unknown,unknown,1.0.0,55.752225,-4.220541,75,80,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
39,39,aa12,SS1,86.00,inUse,2,26,75,43,6,client1,25/05/2020 09:45,dispense,ab1,89,19,25/05/2020 09:45,unknown,unknown,1.0.0,55.752225,-4.220541,71,80,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
40,40,aa12,SS1,83.00,inUse,4,26,71,27,3,client1,25/05/2020 20:45,dispense,ab1,88,22,25/05/2020 20:45,unknown,unknown,1.0.0,55.752225,-4.220541,67,75,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
41,41,aa12,SS1,79.00,inUse,2,21,77,32,7,client1,26/05/2020 07:45,dispense,ab1,78,23,26/05/2020 07:45,unknown,unknown,1.0.0,55.752225,-4.220541,75,79,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
42,42,aa12,SS1,75.00,inUse,4,26,70,34,6,client1,26/05/2020 19:45,dispense,ab1,89,22,26/05/2020 19:45,unknown,unknown,1.0.0,55.752225,-4.220541,75,80,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
43,43,aa12,SS1,71.00,inUse,2,20,79,22,3,client1,27/05/2020 07:45,dispense,ab1,94,20,27/05/2020 07:45,unknown,unknown,1.0.0,55.752225,-4.220541,74,67,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
44,44,aa12,SS1,67.00,inUse,4,25,76,45,7,client1,27/05/2020 19:45,dispense,ab1,85,24,27/05/2020 19:45,unknown,unknown,1.0.0,55.752225,-4.220541,71,70,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
45,45,aa12,SS1,63.00,inUse,2,18,70,24,5,client1,30/05/2020 07:45,dispense,ab1,97,27,30/05/2020 07:45,unknown,unknown,1.0.0,55.752225,-4.220541,68,71,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
46,46,aa12,SS1,60.00,inUse,4,23,77,49,5,client1,30/05/2020 19:45,dispense,ab1,75,23,30/05/2020 19:45,unknown,unknown,1.0.0,55.752225,-4.220541,67,74,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
47,47,aa12,SS1,57.00,inUse,2,25,75,23,7,client1,31/05/2020 07:45,dispense,ab1,88,22,31/05/2020 07:45,unknown,unknown,1.0.0,55.752225,-4.220541,74,76,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
48,48,aa12,SS1,53.00,inUse,4,20,73,23,5,client1,01/06/2020 19:45,dispense,ab1,94,27,01/06/2020 19:45,unknown,unknown,1.0.0,55.752225,-4.220541,67,76,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
49,49,aa12,SS1,50.00,inUse,3,23,74,36,3,client1,02/06/2020 19:45,dispense,ab1,90,21,02/06/2020 19:45,unknown,unknown,1.0.0,55.752225,-4.220541,72,65,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
50,50,aa12,SS1,47.00,inUse,2,25,73,50,3,client1,03/06/2020 08:00,dispense,ab1,92,26,03/06/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,74,68,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
51,51,aa12,SS1,43.00,inUse,4,22,79,26,4,client1,03/06/2020 20:00,dispense,ab1,90,21,03/06/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,73,67,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
52,52,aa12,SS1,39.00,inUse,2,26,66,23,6,client1,04/06/2020 08:00,dispense,ab1,98,18,04/06/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,67,65,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
53,53,aa12,SS1,36.00,inUse,4,24,65,24,6,client1,04/06/2020 20:00,dispense,ab1,86,20,04/06/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,70,79,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
54,54,aa12,SS1,33.00,inUse,2,26,71,32,3,client1,05/06/2020 08:00,dispense,ab1,98,25,05/06/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,68,72,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
55,55,aa12,SS1,29.00,inUse,3,24,71,25,5,client1,05/06/2020 20:00,dispense,ab1,99,23,05/06/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,75,80,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
56,56,aa12,SS1,26.00,inUse,3,23,65,42,3,client1,06/06/2020 08:00,dispense,ab1,84,18,06/06/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,69,76,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
57,57,aa12,SS1,22.00,inUse,4,24,73,40,4,client1,06/06/2020 20:00,dispense,ab1,99,25,06/06/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,68,74,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
58,58,aa12,SS1,19.00,inUse,2,25,77,47,3,client1,07/06/2020 08:00,dispense,ab1,86,21,07/06/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,74,74,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
59,59,aa12,SS1,16.00,inUse,4,22,70,45,4,client1,07/06/2020 20:00,dispense,ab1,98,18,07/06/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,72,78,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
60,60,aa12,SS1,13.00,inUse,2,22,70,45,4,client1,08/06/2020 08:00,dispense,ab1,98,18,08/06/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,72,78,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
61,61,aa12,SS1,10.00,inUse,4,22,70,45,4,client1,08/06/2020 20:00,dispense,ab1,98,18,08/06/2020 20:00,unknown,unknown,1.0.0,55.752225,-4.220541,72,78,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
62,62,aa12,SS1,7.00,inUse,2,22,70,45,4,client1,09/06/2020 08:00,dispense,ab1,98,18,09/06/2020 08:00,unknown,unknown,1.0.0,55.752225,-4.220541,72,78,0,FACE,Registered,55.752225,-4.220541,John,Bloggs,1995,Male,4,Dry,None,ISHGA,Exfoliator,Face Wash,Men’s Exfoliating Face Wash 100ml,28/04/2020 14:00,DRY,DAILY,2,4,100,23/05/2020
